mbid	band	fame_lb_raw
07832b42-8826-4ab1-acd3-c49a2f595ffe	4	9821
078f737f-a8ff-4dd7-84f0-eb786aa833b6	2	2294
07901384-cd4d-44ef-8d99-9f938455c858	2	3580
07b7e791-ccfa-4ec4-b2f9-e136d4cf0746	1	1050
081fd4e0-a888-40ce-8269-ff366d6a2420	1	1129
08556a98-19f4-4a87-8dba-f258f498e205	4	15508
08607724-00e6-4624-84ca-d0b31eeb5a3b	1	1151
0879ca44-f3eb-4553-a689-4ec10354bed2	1	1369
08870a97-6af5-4db8-97fa-859bb9f2e0c2	3	8318
08b736bb-1c82-40b4-8b0b-49e2182a067a	4	54429
08bc4381-625e-459c-a73c-d3fbd01d13c7	1	532
091ec508-877f-4e3c-92a3-10903bbbc7ad	4	77054
09260ed1-6ecb-4a5c-857e-4e2c6e282365	3	7168
092cb48c-e9e3-4bb5-bd87-c8388d8c9721	0	289
09374630-23d6-4852-b2be-e2e711afbbfd	3	3977
094013ea-dd69-45f3-919f-cfd7a50a9b41	2	1697
09402904-94b8-467d-a894-4a7b40045eaf	4	15406
0942ec23-dd69-4d35-9c6a-7ff1ea18cafd	1	850
094952ce-9f96-4e27-88cf-76f98bdb7555	4	15209
095f8e81-fec0-4e82-8d62-6ac0182faed6	2	1970
0976dbd8-e7fe-4161-9a49-58c57f7a7787	3	7580
0981102f-a51b-474e-849e-3756fe1fef64	1	1171
09a28356-b096-4d7e-8aed-03e2199bf924	2	2546
09bfc31a-ef7f-4537-836e-f3daeb76709a	3	5444
09c88499-fd98-4f0e-a4c2-7e763140b611	1	1064
09cb2315-36be-43c0-bd1e-80528925aa02	2	1868
09f221eb-c97e-4da5-ac22-d7ab7c555bbb	4	23609
09fcc58c-ba74-48e1-9975-d2e0aa96fa47	0	123
0a526a8b-724e-417b-afaa-ec38bcfc3103	3	3589
0a63ec16-9622-4fae-9b44-213f0b9952c7	2	2430
0a746deb-ab08-4bb8-b4fa-490894697fbd	0	285
0a7b8b55-9f07-4527-899f-a7f152c73320	1	803
0aac51db-d89e-420b-a2e4-515ca763eadd	3	3737
0ad0d7d9-9308-4132-b104-990168ec405f	2	2664
0ad12092-85b1-489d-b23f-790d1c620aeb	4	12684
0addbe9c-9312-41d3-bb20-07ae84b81737	3	3980
